id,name,score,March 2019 w/ Digital Rights Reviewer,March 2019,February 2019,January 2019,December 2018
216,Graphite,Total,1,1,1,1,1
216,Graphite,DE,1,1,1,1,1
216,Graphite,PH,1,1,2,1,1
216,Graphite,TMYUI,8,16,10,4,undefined
216,Graphite,DR,34,undefined,undefined,undefined,undefined
825,Recall,Total,2,6,4,8,8
825,Recall,DE,28,28,28,25,21
825,Recall,PH,8,8,8,7,8
825,Recall,TMYUI,18,21,4,10,undefined
825,Recall,DR,1,undefined,undefined,undefined,undefined
505,Blockusign,Total,3,5,3,3,10
505,Blockusign,DE,2,2,3,3,3
505,Blockusign,PH,23,23,14,10,18
505,Blockusign,TMYUI,23,17,7,5,undefined
505,Blockusign,DR,1,undefined,undefined,undefined,undefined
830,Encrypt My Photos,Total,4,7,20,15,17
830,Encrypt My Photos,DE,16,16,17,13,23
830,Encrypt My Photos,PH,5,5,7,6,7
830,Encrypt My Photos,TMYUI,18,25,53,22,undefined
830,Encrypt My Photos,DR,1,undefined,undefined,undefined,undefined
831,BLOCKVAULT,Total,5,8,5,7,5
831,BLOCKVAULT,DE,6,6,5,4,6
831,BLOCKVAULT,PH,10,10,11,9,10
831,BLOCKVAULT,TMYUI,46,47,22,26,undefined
831,BLOCKVAULT,DR,1,undefined,undefined,undefined,undefined
176,SpringRole,Total,6,2,7,4,6
176,SpringRole,DE,5,5,20,31,16
176,SpringRole,PH,2,2,1,3,4
176,SpringRole,TMYUI,11,12,34,9,undefined
176,SpringRole,DR,51,undefined,undefined,undefined,undefined
1077,Air Text,Total,7,9,13,undefined,undefined
1077,Air Text,DE,32,32,39,undefined,undefined
1077,Air Text,PH,9,9,9,undefined,undefined
1077,Air Text,TMYUI,10,11,18,undefined,undefined
1077,Air Text,DR,1,undefined,undefined,undefined,undefined
934,Graphite Publishing,Total,8,10,6,11,undefined
934,Graphite Publishing,DE,14,14,16,20,undefined
934,Graphite Publishing,PH,19,19,12,17,undefined
934,Graphite Publishing,TMYUI,27,23,6,12,undefined
934,Graphite Publishing,DR,1,undefined,undefined,undefined,undefined
758,Zinc,Total,9,3,2,2,3
758,Zinc,DE,3,3,6,7,4
758,Zinc,PH,6,6,5,8,9
758,Zinc,TMYUI,34,29,14,18,undefined
758,Zinc,DR,51,undefined,undefined,undefined,undefined
945,Xor Drive,Total,10,12,9,12,undefined
945,Xor Drive,DE,33,33,33,29,undefined
945,Xor Drive,PH,17,17,17,15,undefined
945,Xor Drive,TMYUI,7,6,2,14,undefined
945,Xor Drive,DR,1,undefined,undefined,undefined,undefined
520,Note Riot,Total,11,11,18,25,19
520,Note Riot,DE,13,13,15,12,9
520,Note Riot,PH,30,30,31,26,27
520,Note Riot,TMYUI,5,4,1,30,undefined
520,Note Riot,DR,1,undefined,undefined,undefined,undefined
808,DECS,Total,12,13,25,27,32
808,DECS,DE,12,12,12,10,23
808,DECS,PH,29,29,45,38,25
808,DECS,TMYUI,4,5,5,11,undefined
808,DECS,DR,1,undefined,undefined,undefined,undefined
949,Mevaul,Total,13,27,12,10,undefined
949,Mevaul,DE,25,25,24,15,undefined
949,Mevaul,PH,44,44,15,11,undefined
949,Mevaul,TMYUI,13,31,27,13,undefined
949,Mevaul,DR,1,undefined,undefined,undefined,undefined
816,Gladys,Total,14,4,8,14,15
816,Gladys,DE,20,20,31,32,23
816,Gladys,PH,3,3,4,4,3
816,Gladys,TMYUI,1,1,15,17,undefined
816,Gladys,DR,50,undefined,undefined,undefined,undefined
1092,Sigle,Total,15,15,19,undefined,undefined
1092,Sigle,DE,34,34,43,undefined,undefined
1092,Sigle,PH,54,17,13,undefined,undefined
1092,Sigle,TMYUI,3,3,11,undefined,undefined
1092,Sigle,DR,1,undefined,undefined,undefined,undefined
1183,Lander,Total,16,30,undefined,undefined,undefined
1183,Lander,DE,36,36,undefined,undefined,undefined
1183,Lander,PH,19,19,undefined,undefined,undefined
1183,Lander,TMYUI,20,24,undefined,undefined,undefined
1183,Lander,DR,1,undefined,undefined,undefined,undefined
865,DPAGE,Total,17,19,11,5,undefined
865,DPAGE,DE,48,48,22,24,undefined
865,DPAGE,PH,11,11,6,5,undefined
865,DPAGE,TMYUI,47,32,38,16,undefined
865,DPAGE,DR,1,undefined,undefined,undefined,undefined
814,XOR,Total,18,14,30,21,14
814,XOR,DE,8,8,9,6,5
814,XOR,PH,14,14,35,29,19
814,XOR,TMYUI,36,27,48,33,undefined
814,XOR,DR,1,undefined,undefined,undefined,undefined
